kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,coin
news,decrypt.co,"{'title': 'Decrypt', 'region': 'en', 'domain': 'decrypt.co', 'path': None, 'type': 'feed'}",Strategy Buys More Bitcoin as Tariff Exemptions Send Tech Stocks Soaring,2025-04-14 14:39:03+00:00,Strategy-Buys-More-Bitcoin-as-Tariff-Exemptions-Send-Tech-Stocks-Soaring,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072636,https://cryptopanic.com/news/21072636/Strategy-Buys-More-Bitcoin-as-Tariff-Exemptions-Send-Tech-Stocks-Soaring?mtm_campaign=API-OFA,2025-04-14T14:39:03Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,cryptopotato.com,"{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None, 'type': 'feed'}","$3,000 for Ethereum (ETH) If This Critical Condition Is Fulfilled (Analyst)",2025-04-14 14:31:47+00:00,3000-for-Ethereum-ETH-If-This-Critical-Condition-Is-Fulfilled-Analyst,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21072584,https://cryptopanic.com/news/21072584/3000-for-Ethereum-ETH-If-This-Critical-Condition-Is-Fulfilled-Analyst?mtm_campaign=API-OFA,2025-04-14T14:31:47Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,thedefiant.io,"{'title': 'DeFi News', 'region': 'en', 'domain': 'thedefiant.io', 'path': None, 'type': 'feed'}","MicroStrategy Acquires 3,459 Bitcoins for $285.8 Million, Total Holdings Reach 531,644 BTC",2025-04-14 14:30:40+00:00,MicroStrategy-Acquires-3459-Bitcoins-for-2858-Million-Total-Holdings-Reach-531644-BTC,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072568,https://cryptopanic.com/news/21072568/MicroStrategy-Acquires-3459-Bitcoins-for-2858-Million-Total-Holdings-Reach-531644-BTC?mtm_campaign=API-OFA,2025-04-14T14:30:40Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,dailyhodl.com,"{'title': 'The Daily Hodl', 'region': 'en', 'domain': 'dailyhodl.com', 'path': None, 'type': 'feed'}","Bitcoin (BTC) on Cusp of a Breakout After Defeating Downtrend, According to Crypto Analyst",2025-04-14 14:30:22+00:00,Bitcoin-BTC-on-Cusp-of-a-Breakout-After-Defeating-Downtrend-According-to-Crypto-Analyst,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21072573,https://cryptopanic.com/news/21072573/Bitcoin-BTC-on-Cusp-of-a-Breakout-After-Defeating-Downtrend-According-to-Crypto-Analyst?mtm_campaign=API-OFA,2025-04-14T14:30:22Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,newsbtc.com,"{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None, 'type': 'feed'}","Bitcoin Price Forms This Bullish Pennant On Daily Chart That Could Trigger Rise To $137,000",2025-04-14 14:30:19+00:00,Bitcoin-Price-Forms-This-Bullish-Pennant-On-Daily-Chart-That-Could-Trigger-Rise-To-137000,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}, {'code': 'ALI', 'title': 'Artificial Liquid Intelligence', 'slug': 'alethea-artificial-liquid-intelligence-token', 'url': 'https://cryptopanic.com/news/alethea-artificial-liquid-intelligence-token/'}, {'code': 'CLOUD', 'title': 'Cloud', 'slug': 'sanctum-2', 'url': 'https://cryptopanic.com/news/sanctum-2/'}]",21072572,https://cryptopanic.com/news/21072572/Bitcoin-Price-Forms-This-Bullish-Pennant-On-Daily-Chart-That-Could-Trigger-Rise-To-137000?mtm_campaign=API-OFA,2025-04-14T14:30:19Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,cryptoslate.com,"{'title': 'CryptoSlate', 'region': 'en', 'domain': 'cryptoslate.com', 'path': None, 'type': 'feed'}",Strategy raised nearly $9 million per hour during US trading hours last week to fund latest Bitcoin purchase,2025-04-14 14:30:09+00:00,Strategy-raised-nearly-9-million-per-hour-during-US-trading-hours-last-week-to-fund-latest-Bitcoin-purchase,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072583,https://cryptopanic.com/news/21072583/Strategy-raised-nearly-9-million-per-hour-during-US-trading-hours-last-week-to-fund-latest-Bitcoin-purchase?mtm_campaign=API-OFA,2025-04-14T14:30:09Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,u.today,"{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None, 'type': 'feed'}","Bitcoin, Fed Reserve, Strategy – Vinny Lingham Shares Hot Take",2025-04-14 14:26:00+00:00,Bitcoin-Fed-Reserve-Strategy-Vinny-Lingham-Shares-Hot-Take,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072562,https://cryptopanic.com/news/21072562/Bitcoin-Fed-Reserve-Strategy-Vinny-Lingham-Shares-Hot-Take?mtm_campaign=API-OFA,2025-04-14T14:26:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,decrypt.co,"{'title': 'Decrypt', 'region': 'en', 'domain': 'decrypt.co', 'path': None, 'type': 'feed'}",Bitcoin Price Flat as Ray Dalio Warns 'Something Worse Than a Recession' Looming,2025-04-14 14:20:20+00:00,Bitcoin-Price-Flat-as-Ray-Dalio-Warns-Something-Worse-Than-a-Recession-Looming,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072516,https://cryptopanic.com/news/21072516/Bitcoin-Price-Flat-as-Ray-Dalio-Warns-Something-Worse-Than-a-Recession-Looming?mtm_campaign=API-OFA,2025-04-14T14:20:20Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,altcoinbuzz.io,"{'title': 'Altcoinbuzz', 'region': 'en', 'domain': 'altcoinbuzz.io', 'path': None, 'type': 'feed'}",What Happened to Mantra? Token Plunges Over 90%,2025-04-14 14:17:05+00:00,What-Happened-to-Mantra-Token-Plunges-Over-90,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072347,https://cryptopanic.com/news/21072347/What-Happened-to-Mantra-Token-Plunges-Over-90?mtm_campaign=API-OFA,2025-04-14T14:17:05Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,zycrypto.com,"{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None, 'type': 'feed'}",Vitalik Buterin Says “Good Social Philosophy” is Needed for the Upper Layers of Ethereum,2025-04-14 14:07:43+00:00,Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21072124,https://cryptopanic.com/news/21072124/Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum?mtm_campaign=API-OFA,2025-04-14T14:07:43Z,"{'negative': 0, 'positive': 2, 'important': 2, 'liked': 2, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
