=== Historique d'entraînement ===
Époque    Train Loss     Val Loss       Val Acc        Temps (s)      Checkpoint (s) 
1         0.3284         0.1142         0.9400         0.67           0.00           
2         0.1013         0.0800         0.9680         0.44           0.03           
3         0.0754         0.0912         0.9667         0.47           0.00           
4         0.0617         0.0718         0.9680         0.44           0.03           
5         0.0460         0.0733         0.9687         0.49           0.00           
6         0.0353         0.0695         0.9727         0.44           0.02           
7         0.0294         0.0683         0.9713         0.45           0.00           
8         0.0283         0.0746         0.9707         0.48           0.03           
9         0.0220         0.0833         0.9693         0.46           0.00           
10        0.0245         0.0751         0.9673         0.46           0.03           
