kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes
media,youtube.com,"{'title': 'Anthony Pompliano', 'region': 'en', 'domain': 'youtube.com', 'path': None, 'type': 'media'}",Insider Reveals What Trump Really Thinks of Bitcoin,2025-04-16T21:00:49Z,Insider-Reveals-What-Trump-Really-Thinks-of-Bitcoin,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21115354,https://cryptopanic.com/news/21115354/Insider-Reveals-What-Trump-Really-Thinks-of-Bitcoin?mtm_campaign=API-OFA,2025-04-16T21:00:49Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,thestreet.com,"{'title': 'The Street Crypto', 'region': 'en', 'domain': 'thestreet.com', 'path': None, 'type': 'feed'}",Blockdaemon CEO issues stark warning to crypto founders,2025-04-16T20:55:00Z,Blockdaemon-CEO-issues-stark-warning-to-crypto-founders,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21115476,https://cryptopanic.com/news/21115476/Blockdaemon-CEO-issues-stark-warning-to-crypto-founders?mtm_campaign=API-OFA,2025-04-16T20:55:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,coinpedia.org,"{'title': 'coinpedia', 'region': 'en', 'domain': 'coinpedia.org', 'path': None, 'type': 'feed'}","Gold Price Soars Past $3,340: When Will Bitcoin Price Catch Up?",2025-04-16T20:39:46Z,Gold-Price-Soars-Past-3340-When-Will-Bitcoin-Price-Catch-Up,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21114856,https://cryptopanic.com/news/21114856/Gold-Price-Soars-Past-3340-When-Will-Bitcoin-Price-Catch-Up?mtm_campaign=API-OFA,2025-04-16T20:39:46Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}","Bitcoin rally to $86K shows investor confidence, but it’s too early to confirm a trend reversal",2025-04-16T20:34:45Z,Bitcoin-rally-to-86K-shows-investor-confidence-but-its-too-early-to-confirm-a-trend-reversal,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114855,https://cryptopanic.com/news/21114855/Bitcoin-rally-to-86K-shows-investor-confidence-but-its-too-early-to-confirm-a-trend-reversal?mtm_campaign=API-OFA,2025-04-16T20:34:45Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}",Public mining firms sold over 40% of their BTC in March — Report,2025-04-16T20:34:07Z,Public-mining-firms-sold-over-40-of-their-BTC-in-March-Report,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114854,https://cryptopanic.com/news/21114854/Public-mining-firms-sold-over-40-of-their-BTC-in-March-Report?mtm_campaign=API-OFA,2025-04-16T20:34:07Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,thedefiant.io,"{'title': 'DeFi News', 'region': 'en', 'domain': 'thedefiant.io', 'path': None, 'type': 'feed'}","Solana Tops DEX Volume for Fifth Day, Hits $7.06B TVL and 355.9M Transactions",2025-04-16T20:30:33Z,Solana-Tops-DEX-Volume-for-Fifth-Day-Hits-706B-TVL-and-3559M-Transactions,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",21114807,https://cryptopanic.com/news/21114807/Solana-Tops-DEX-Volume-for-Fifth-Day-Hits-706B-TVL-and-3559M-Transactions?mtm_campaign=API-OFA,2025-04-16T20:30:33Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,coingape.com,"{'title': 'CoinGape', 'region': 'en', 'domain': 'coingape.com', 'path': None, 'type': 'feed'}",Ethereum Price Faces Selling Pressure from Whales; Will ETH Dip Below $1.5K Again?,2025-04-16T20:30:13Z,Ethereum-Price-Faces-Selling-Pressure-from-Whales-Will-ETH-Dip-Below-15K-Again,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21114838,https://cryptopanic.com/news/21114838/Ethereum-Price-Faces-Selling-Pressure-from-Whales-Will-ETH-Dip-Below-15K-Again?mtm_campaign=API-OFA,2025-04-16T20:30:13Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,theblock.co,"{'title': 'The Block', 'region': 'en', 'domain': 'theblock.co', 'path': None, 'type': 'feed'}","VanEck aims to launch crypto-related investments ETF next month, offering broad industry exposure through dozens of stocks",2025-04-16T20:26:40Z,VanEck-aims-to-launch-crypto-related-investments-ETF-next-month-offering-broad-industry-exposure-through-dozens-of-stocks,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114803,https://cryptopanic.com/news/21114803/VanEck-aims-to-launch-crypto-related-investments-ETF-next-month-offering-broad-industry-exposure-through-dozens-of-stocks?mtm_campaign=API-OFA,2025-04-16T20:26:40Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,zycrypto.com,"{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None, 'type': 'feed'}","Analyst Outlines How Bitcoin Could Reach $137,000 by September",2025-04-16T20:22:23Z,Analyst-Outlines-How-Bitcoin-Could-Reach-137000-by-September,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114800,https://cryptopanic.com/news/21114800/Analyst-Outlines-How-Bitcoin-Could-Reach-137000-by-September?mtm_campaign=API-OFA,2025-04-16T20:22:23Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
news,bitcoin.com,"{'title': 'Bitcoin.com', 'region': 'en', 'domain': 'bitcoin.com', 'path': None, 'type': 'feed'}",Public Bitcoin Miners Sell 40% of Mined BTC Amid Rising Cost Pressures,2025-04-16T20:15:27Z,Public-Bitcoin-Miners-Sell-40-of-Mined-BTC-Amid-Rising-Cost-Pressures,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114753,https://cryptopanic.com/news/21114753/Public-Bitcoin-Miners-Sell-40-of-Mined-BTC-Amid-Rising-Cost-Pressures?mtm_campaign=API-OFA,2025-04-16T20:15:27Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}"
