kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,coin,body,title_sentiment,title_sentiment_label,title_sentiment_score,title_entities,body_sentiment,body_sentiment_label,body_sentiment_score,body_entities,global_sentiment_score,global_sentiment_label
news,u.today,"{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None, 'type': 'feed'}","512,903% Profit Triggers Epic Ethereum (ETH) Whale Awakening",2025-04-17 15:22:00+00:00,512903-Profit-Triggers-Epic-Ethereum-ETH-Whale-Awakening,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21133403,https://cryptopanic.com/news/21133403/512903-Profit-Triggers-Epic-Ethereum-ETH-Whale-Awakening?mtm_campaign=API-OFA,2025-04-17T15:22:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.8149280548095703}",neutral,0.8149280548095703,"{'crypto_entities': [{'text': 'ethereum', 'type': 'CRYPTO', 'symbol': 'ETH', 'score': 1.0, 'start': 29, 'end': 37}, {'text': 'eth', 'type': 'CRYPTO', 'symbol': 'ETH', 'score': 1.0, 'start': 38, 'end': 41}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7204496383666992,positive
news,cryptopotato.com,"{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None, 'type': 'feed'}","Bitcoin ETFs, Corporate Buyers Are Quietly Stabilizing BTC Prices: Analyst",2025-04-17 15:21:45+00:00,Bitcoin-ETFs-Corporate-Buyers-Are-Quietly-Stabilizing-BTC-Prices-Analyst,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21133397,https://cryptopanic.com/news/21133397/Bitcoin-ETFs-Corporate-Buyers-Are-Quietly-Stabilizing-BTC-Prices-Analyst?mtm_campaign=API-OFA,2025-04-17T15:21:45Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'positive', 'score': 0.8184817433357239}",positive,0.8184817433357239,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 0, 'end': 7}, {'text': 'btc', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 55, 'end': 58}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7229372203350067,positive
news,bitcoin.com,"{'title': 'Bitcoin.com', 'region': 'en', 'domain': 'bitcoin.com', 'path': None, 'type': 'feed'}",Bitcoin ETFs Plunge Back Into Red With $170 Million Exit,2025-04-17 15:18:44+00:00,Bitcoin-ETFs-Plunge-Back-Into-Red-With-170-Million-Exit,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21133300,https://cryptopanic.com/news/21133300/Bitcoin-ETFs-Plunge-Back-Into-Red-With-170-Million-Exit?mtm_campaign=API-OFA,2025-04-17T15:18:44Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'negative', 'score': 0.8317697048187256}",negative,0.8317697048187256,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 0, 'end': 7}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7322387933731079,positive
news,u.today,"{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None, 'type': 'feed'}",Binance CEO Makes Unexpected Bitcoin Remark: Community Reacts,2025-04-17 15:14:00+00:00,Binance-CEO-Makes-Unexpected-Bitcoin-Remark-Community-Reacts,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21133133,https://cryptopanic.com/news/21133133/Binance-CEO-Makes-Unexpected-Bitcoin-Remark-Community-Reacts?mtm_campaign=API-OFA,2025-04-17T15:14:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.889532208442688}",neutral,0.889532208442688,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 29, 'end': 36}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7726725459098815,positive
news,ambcrypto.com,"{'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None, 'type': 'feed'}",Why Ethereum’s 77K inflows can spell trouble for ETH,2025-04-17 15:00:26+00:00,Why-Ethereums-77K-inflows-can-spell-trouble-for-ETH,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': '$1', 'title': 'just buy $1 worth of this coin', 'slug': 'just-buy-1-worth-of-this-coin', 'url': 'https://cryptopanic.com/news/just-buy-1-worth-of-this-coin/'}]",21131936,https://cryptopanic.com/news/21131936/Why-Ethereums-77K-inflows-can-spell-trouble-for-ETH?mtm_campaign=API-OFA,2025-04-17T15:00:26Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}",bitcoin,,"{'label': 'negative', 'score': 0.9001941084861755}",negative,0.9001941084861755,"{'crypto_entities': [{'text': 'eth', 'type': 'CRYPTO', 'symbol': 'ETH', 'score': 1.0, 'start': 48, 'end': 51}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7801358759403229,positive
news,newsbtc.com,"{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None, 'type': 'feed'}",Ripple Whale Activity Surges—Will $273 Million XRP Transfer Shake The Market?,2025-04-17 15:00:21+00:00,Ripple-Whale-Activity-SurgesWill-273-Million-XRP-Transfer-Shake-The-Market,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]",21131955,https://cryptopanic.com/news/21131955/Ripple-Whale-Activity-SurgesWill-273-Million-XRP-Transfer-Shake-The-Market?mtm_campaign=API-OFA,2025-04-17T15:00:21Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.8684548735618591}",neutral,0.8684548735618591,"{'crypto_entities': [{'text': 'ripple', 'type': 'CRYPTO', 'symbol': 'XRP', 'score': 1.0, 'start': 0, 'end': 6}, {'text': 'xrp', 'type': 'CRYPTO', 'symbol': 'XRP', 'score': 1.0, 'start': 45, 'end': 48}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7579184114933014,positive
news,coindesk.com,"{'title': 'CoinDesk', 'region': 'en', 'domain': 'coindesk.com', 'path': None, 'type': 'feed'}",Crypto for Advisors: Generating Yield With Bitcoin,2025-04-17 15:00:00+00:00,Crypto-for-Advisors-Generating-Yield-With-Bitcoin,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21132160,https://cryptopanic.com/news/21132160/Crypto-for-Advisors-Generating-Yield-With-Bitcoin?mtm_campaign=API-OFA,2025-04-17T15:00:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.6340280175209045}",neutral,0.6340280175209045,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 42, 'end': 49}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.5938196122646331,neutral
media,youtube.com,"{'title': 'Simply Bitcoin', 'region': 'en', 'domain': 'youtube.com', 'path': None, 'type': 'media'}",NEW DATA: How Much Bitcoin You Need To Retire by 2029? | EP 1225,2025-04-17 14:59:14+00:00,NEW-DATA-How-Much-Bitcoin-You-Need-To-Retire-by-2029-EP-1225,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'DATA', 'title': 'Streamr', 'slug': 'streamr', 'url': 'https://cryptopanic.com/news/streamr/'}]",21132205,https://cryptopanic.com/news/21132205/NEW-DATA-How-Much-Bitcoin-You-Need-To-Retire-by-2029-EP-1225?mtm_campaign=API-OFA,2025-04-17T14:59:14Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.9638230800628662}",neutral,0.9638230800628662,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 18, 'end': 25}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.8246761560440063,positive
news,altcoinbuzz.io,"{'title': 'Altcoinbuzz', 'region': 'en', 'domain': 'altcoinbuzz.io', 'path': None, 'type': 'feed'}",Coingecko’s Q1 2025 Report Reveals Crypto Trends- Part 2,2025-04-17 14:55:53+00:00,Coingeckos-Q1-2025-Report-Reveals-Crypto-Trends-Part-2,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21131931,https://cryptopanic.com/news/21131931/Coingeckos-Q1-2025-Report-Reveals-Crypto-Trends-Part-2?mtm_campaign=API-OFA,2025-04-17T14:55:53Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.9388288855552673}",neutral,0.9388288855552673,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.8071802198886872,positive
news,decrypt.co,"{'title': 'Decrypt', 'region': 'en', 'domain': 'decrypt.co', 'path': None, 'type': 'feed'}",Bitcoin Price Flat Amid Signs 'Volatility May Be Cooling Off': Analysts,2025-04-17 14:53:19+00:00,Bitcoin-Price-Flat-Amid-Signs-Volatility-May-Be-Cooling-Off-Analysts,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21131935,https://cryptopanic.com/news/21131935/Bitcoin-Price-Flat-Amid-Signs-Volatility-May-Be-Cooling-Off-Analysts?mtm_campaign=API-OFA,2025-04-17T14:53:19Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.8769845366477966}",neutral,0.8769845366477966,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 0, 'end': 7}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7638891756534576,positive
